Title,Location,Compensation,Min_Comp,Max_Comp
Walmart Business Intelligence Analyst salaries,"Fayetteville, Arkansas Area","$67,000/yr",46700,96200
Citi Business Intelligence Analyst salaries,Greater Chicago Area,"$74,700/yr",53200,105000
Citi Business Intelligence Analyst salaries,"Tampa/St. Petersburg, Florida Area","$67,300/yr",48000,94500
TD Business Intelligence Analyst salaries,"Portland, Maine Area","$72,200/yr",55200,94600
HSBC Business Intelligence Analyst salaries,"Greater Nashville Area, TN","$69,400/yr",49100,98200
Target Business Intelligence Analyst salaries,Greater Minneapolis-St. Paul Area,"$75,700/yr",53600,107000
General Motors Business Intelligence Analyst salaries,Greater Atlanta Area,"$78,300/yr",57900,106000
General Motors Business Intelligence Analyst salaries,Greater Detroit Area,"$78,800/yr",58200,107000
General Motors Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$77,300/yr",57100,105000
Starbucks Business Intelligence Analyst salaries,Greater Seattle Area,"$81,100/yr",63100,104000
Starbucks Business Intelligence Analyst salaries,"Sacramento, California Area","$77,800/yr",60600,99900
AT&T Business Intelligence Analyst salaries,Greater New York City Area,"$83,600/yr",56100,125000
AT&T Business Intelligence Analyst salaries,Greater Los Angeles Area,"$80,100/yr",53700,119000
AT&T Business Intelligence Analyst salaries,San Francisco Bay Area,"$93,700/yr",62800,140000
AT&T Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$75,200/yr",50500,112000
AT&T Business Intelligence Analyst salaries,Greater Atlanta Area,"$73,700/yr",49400,110000
AT&T Business Intelligence Analyst salaries,"Austin, Texas Area","$74,300/yr",49800,111000
AT&T Business Intelligence Analyst salaries,"Johnson City, Tennessee Area","$63,300/yr",42400,94300
BNP Paribas Business Intelligence Analyst salaries,Greater New York City Area,"$86,900/yr",61900,122000
Cerner Corporation Business Intelligence Analyst salaries,Greater Boston Area,"$64,200/yr",50200,82100
Cerner Corporation Business Intelligence Analyst salaries,Greater Salt Lake City Area,"$56,000/yr",43800,71700
Cerner Corporation Business Intelligence Analyst salaries,"Cleveland/Akron, Ohio Area","$56,100/yr",43900,71800
Cerner Corporation Business Intelligence Analyst salaries,Greater St. Louis Area,"$56,200/yr",43900,71900
Cerner Corporation Business Intelligence Analyst salaries,"Sacramento, California Area","$63,900/yr",49900,81700
Cerner Corporation Business Intelligence Analyst salaries,"Madison, Wisconsin Area","$58,900/yr",46000,75300
Cerner Corporation Business Intelligence Analyst salaries,Greater Omaha Area,"$55,500/yr",43400,71000
Cerner Corporation Business Intelligence Analyst salaries,"Columbia, Missouri Area","$50,500/yr",39400,64600
Cerner Corporation Business Intelligence Analyst salaries,"Bloomington, Indiana Area","$53,900/yr",42100,69000
Cerner Corporation Business Intelligence Analyst salaries,"Lawrence, Kansas Area","$53,300/yr",41700,68300
Cerner Corporation Business Intelligence Analyst salaries,"St. Joseph, Missouri Area","$53,600/yr",41900,68500
Ford Motor Company Business Intelligence Analyst salaries,Greater New York City Area,"$90,400/yr",65200,125000
Ford Motor Company Business Intelligence Analyst salaries,Greater Detroit Area,"$80,200/yr",57800,111000
American Express Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$72,900/yr",55800,95300
American Express Business Intelligence Analyst salaries,"Cleveland/Akron, Ohio Area","$70,100/yr",53700,91600
RBC Business Intelligence Analyst salaries,San Francisco Bay Area,"$91,400/yr",61600,136000
RBC Business Intelligence Analyst salaries,Greater New Orleans Area,"$69,300/yr",46700,103000
Raytheon Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$72,200/yr",55400,94100
CGI Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$64,700/yr",50900,82300
CGI Business Intelligence Analyst salaries,"Sacramento, California Area","$68,500/yr",53900,87100
CGI Business Intelligence Analyst salaries,"Lafayette, Louisiana Area","$60,000/yr",47200,76300
Genpact Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$63,300/yr",45700,87800
Genpact Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$61,300/yr",44200,84900
Fidelity Investments Business Intelligence Analyst salaries,Greater Boston Area,"$73,300/yr",53200,101000
Fidelity Investments Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$68,900/yr",50100,94900
Fidelity Investments Business Intelligence Analyst salaries,"Raleigh-Durham, North Carolina Area","$67,100/yr",48700,92300
Morgan Stanley Business Intelligence Analyst salaries,Greater New York City Area,"$82,600/yr",57700,118000
Walgreens Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$63,800/yr",47700,85500
State Farm ® Business Intelligence Analyst salaries,"Davenport, Iowa Area","$61,100/yr",41700,89400
State Farm ® Business Intelligence Analyst salaries,"Bloomington/Normal, Illinois Area","$67,400/yr",46000,98600
Tech Mahindra Business Intelligence Analyst salaries,San Francisco Bay Area,"$67,800/yr",51200,89900
Kaiser Permanente Business Intelligence Analyst salaries,Greater Los Angeles Area,"$95,500/yr",63700,143000
Kaiser Permanente Business Intelligence Analyst salaries,San Francisco Bay Area,"$112,000/yr",74500,168000
Kaiser Permanente Business Intelligence Analyst salaries,Greater Atlanta Area,"$87,900/yr",58600,132000
Kaiser Permanente Business Intelligence Analyst salaries,Greater Seattle Area,"$99,000/yr",66000,149000
Kaiser Permanente Business Intelligence Analyst salaries,Greater Denver Area,"$90,700/yr",60500,136000
Kaiser Permanente Business Intelligence Analyst salaries,"Portland, Oregon Area","$90,600/yr",60400,136000
Northrop Grumman Business Intelligence Analyst salaries,Greater Salt Lake City Area,"$71,400/yr",51900,98000
Northrop Grumman Business Intelligence Analyst salaries,"Raleigh-Durham, North Carolina Area","$74,800/yr",54500,103000
DXC Technology Business Intelligence Analyst salaries,San Francisco Bay Area,"$80,100/yr",57800,111000
DXC Technology Business Intelligence Analyst salaries,"Sacramento, California Area","$68,000/yr",49100,94300
DXC Technology Business Intelligence Analyst salaries,"Madison, Wisconsin Area","$62,700/yr",45300,86900
Salesforce Business Intelligence Analyst salaries,San Francisco Bay Area,"$110,000/yr",81600,147000
Salesforce Business Intelligence Analyst salaries,Greater Seattle Area,"$97,100/yr",72200,131000
Capital One Business Intelligence Analyst salaries,"Charlotte, North Carolina Area","$81,800/yr",63200,106000
UnitedHealth Group Business Intelligence Analyst salaries,Greater New York City Area,"$79,100/yr",59200,106000
UnitedHealth Group Business Intelligence Analyst salaries,Greater Boston Area,"$75,700/yr",56600,101000
UnitedHealth Group Business Intelligence Analyst salaries,"Houston, Texas Area","$76,300/yr",57100,102000
UnitedHealth Group Business Intelligence Analyst salaries,Greater Minneapolis-St. Paul Area,"$72,100/yr",54000,96300
UnitedHealth Group Business Intelligence Analyst salaries,Miami/Fort Lauderdale Area,"$67,600/yr",50600,90400
UnitedHealth Group Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$66,400/yr",49700,88700
UnitedHealth Group Business Intelligence Analyst salaries,Greater San Diego Area,"$75,400/yr",56500,101000
UnitedHealth Group Business Intelligence Analyst salaries,"Hartford, Connecticut Area","$74,200/yr",55600,99200
UnitedHealth Group Business Intelligence Analyst salaries,"Fort Collins, Colorado Area","$69,000/yr",51700,92200
SAP Business Intelligence Analyst salaries,Greater New York City Area,"$89,400/yr",63900,125000
CVS Health Business Intelligence Analyst salaries,Greater Boston Area,"$73,700/yr",55600,97800
Tesla Business Intelligence Analyst salaries,San Francisco Bay Area,"$89,500/yr",65900,122000
Deutsche Bank Business Intelligence Analyst salaries,Greater New York City Area,"$84,300/yr",62900,113000
Deutsche Bank Business Intelligence Analyst salaries,Greater Chicago Area,"$77,400/yr",57700,104000
UPS Business Intelligence Analyst salaries,Greater Atlanta Area,"$68,300/yr",44700,104000
UPS Business Intelligence Analyst salaries,"Kansas City, Missouri Area","$65,400/yr",42800,100000
ADP Business Intelligence Analyst salaries,Greater New York City Area,"$72,200/yr",45400,115000
ADP Business Intelligence Analyst salaries,Greater Los Angeles Area,"$69,100/yr",43500,110000
ADP Business Intelligence Analyst salaries,Miami/Fort Lauderdale Area,"$61,700/yr",38900,98100
ADP Business Intelligence Analyst salaries,"Columbus, Georgia Area","$57,300/yr",36000,91000
Verizon Business Intelligence Analyst salaries,Greater New York City Area,"$78,200/yr",49700,123000
Verizon Business Intelligence Analyst salaries,Greater Los Angeles Area,"$74,900/yr",47500,118000
Verizon Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$70,400/yr",44700,111000
Verizon Business Intelligence Analyst salaries,Greater Atlanta Area,"$68,900/yr",43800,109000
Verizon Business Intelligence Analyst salaries,Greater Salt Lake City Area,"$65,300/yr",41500,103000
The Home Depot Business Intelligence Analyst salaries,Greater Atlanta Area,"$71,400/yr",52800,96500
LinkedIn Business Intelligence Analyst salaries,San Francisco Bay Area,"$109,000/yr",86200,138000
Deloitte Consulting Business Intelligence Analyst salaries,"Raleigh-Durham, North Carolina Area","$80,200/yr",60800,106000
Macy's Business Intelligence Analyst salaries,"Tampa/St. Petersburg, Florida Area","$63,800/yr",44000,92500
Macy's Business Intelligence Analyst salaries,"Cincinnati Area, KY","$65,600/yr",45200,95100
Adobe Business Intelligence Analyst salaries,Greater Los Angeles Area,"$88,900/yr",67800,117000
Adobe Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$83,500/yr",63700,110000
Adobe Business Intelligence Analyst salaries,Greater Seattle Area,"$92,100/yr",70200,121000
Adobe Business Intelligence Analyst salaries,Greater Denver Area,"$84,400/yr",64400,111000
Adobe Business Intelligence Analyst salaries,Greater Salt Lake City Area,"$77,500/yr",59100,102000
Adobe Business Intelligence Analyst salaries,"Columbus, Ohio Area","$79,200/yr",60400,104000
Mindtree Business Intelligence Analyst salaries,Greater Seattle Area,"$60,500/yr",45600,80300
Honeywell Business Intelligence Analyst salaries,Greater Seattle Area,"$87,700/yr",65400,118000
Honeywell Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$77,000/yr",57400,103000
U.S. Bank Business Intelligence Analyst salaries,Greater Denver Area,"$76,900/yr",55600,106000
U.S. Bank Business Intelligence Analyst salaries,Greater Minneapolis-St. Paul Area,"$77,100/yr",55700,107000
U.S. Bank Business Intelligence Analyst salaries,"Portland, Oregon Area","$76,900/yr",55500,106000
U.S. Bank Business Intelligence Analyst salaries,Greater St. Louis Area,"$70,900/yr",51200,98100
U.S. Bank Business Intelligence Analyst salaries,"Cincinnati Area, KY","$72,000/yr",52100,99700
KPMG US Business Intelligence Analyst salaries,Greater New York City Area,"$85,000/yr",66000,110000
KPMG US Business Intelligence Analyst salaries,Greater Detroit Area,"$75,400/yr",58500,97100
Hewlett Packard Enterprise Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$75,000/yr",53000,106000
Hewlett Packard Enterprise Business Intelligence Analyst salaries,"Houston, Texas Area","$80,400/yr",56800,114000
Hewlett Packard Enterprise Business Intelligence Analyst salaries,Greater Detroit Area,"$73,900/yr",52300,105000
Nike Business Intelligence Analyst salaries,"Portland, Oregon Area","$89,100/yr",65700,121000
Nordstrom Business Intelligence Analyst salaries,Greater Seattle Area,"$78,800/yr",53700,116000
USAA Business Intelligence Analyst salaries,Greater New York City Area,"$83,200/yr",62600,111000
USAA Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$74,900/yr",56300,99600
USAA Business Intelligence Analyst salaries,"Houston, Texas Area","$80,200/yr",60300,107000
USAA Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$72,400/yr",54500,96400
USAA Business Intelligence Analyst salaries,"Austin, Texas Area","$73,900/yr",55600,98300
USAA Business Intelligence Analyst salaries,"Tampa/St. Petersburg, Florida Area","$68,900/yr",51800,91600
Amazon Business Analyst salaries,Greater Seattle Area,"$85,000/yr",63500,104000
Bloomberg LP Data Analyst salaries,Greater New York City Area,"$71,000/yr",66000,93900
Wells Fargo Business Consultant salaries,"Charlotte, North Carolina Area","$110,000/yr",71800,140000
Meijer Business Analyst salaries,"Greater Grand Rapids, Michigan Area","$53,500/yr",51000,63100
Microsoft Data Analyst salaries,Greater Seattle Area,"$75,000/yr",47100,130000
Quicken Loans Business Analyst salaries,Greater Detroit Area,"$65,000/yr",52200,86000
EY Business Consultant salaries,Greater New York City Area,"$73,800/yr",70000,122000
WellCare Health Plans Business Analyst salaries,"Tampa/St. Petersburg, Florida Area","$60,000/yr",53000,68700
JPMorgan Chase & Co. Business Analyst salaries,"Phoenix, Arizona Area","$63,700/yr",48900,86800
Wells Fargo Business Analyst salaries,"Charlotte, North Carolina Area","$102,000/yr",49600,135000
Google Data Analyst salaries,San Francisco Bay Area,"$90,800/yr",60200,137000
Southwest Airlines Business Consultant salaries,Dallas/Fort Worth Area,"$92,600/yr",75200,114000
Facebook Data Analyst salaries,San Francisco Bay Area,"$109,000/yr",79900,150000
Uber Data Analyst salaries,San Francisco Bay Area,"$98,000/yr",79900,120000
Quicken Loans Data Analyst salaries,Greater Detroit Area,"$62,200/yr",51300,75500
Chevron Business Analyst salaries,"Houston, Texas Area","$104,000/yr",78600,138000
"Acumen, LLC Data Analyst salaries",San Francisco Bay Area,"$71,200/yr",56900,89000
Apple Data Analyst salaries,San Francisco Bay Area,"$103,000/yr",62300,169000
Ford Motor Company Business Analyst salaries,Greater Detroit Area,"$79,100/yr",62600,100000
Amazon Web Services (AWS) Business Analyst salaries,Greater Seattle Area,"$95,400/yr",63700,143000
General Motors Business Analyst salaries,Greater Detroit Area,"$88,700/yr",64100,123000
Kaiser Permanente Data Analyst salaries,San Francisco Bay Area,"$80,400/yr",60200,107000
Fidelity Investments Data Analyst salaries,Greater Boston Area,"$65,700/yr",54200,79700
"Groundspeed Analytics, Inc. Data Analyst salaries",Greater Detroit Area,$22.00/hr,18.00,27.00
Wells Fargo Data Analyst salaries,"Charlotte, North Carolina Area","$87,600/yr",58300,132000
Boeing Business Analyst salaries,Greater Seattle Area,"$84,500/yr",66800,107000
American Express Business Analyst salaries,"Phoenix, Arizona Area","$58,100/yr",45500,74300
UnitedHealth Group Data Analyst salaries,Greater Minneapolis-St. Paul Area,"$75,000/yr",52300,108000
CVS Health Data Analyst salaries,Greater Boston Area,$32.00/hr,26.00,40.00
The Home Depot Data Analyst salaries,Greater Atlanta Area,"$67,100/yr",58000,77700
ExxonMobil Business Analyst salaries,"Houston, Texas Area","$97,500/yr",64800,147000
